event_idx,window_end_ts,window_end_utc,window_start_ts,window_start_utc,delta_cvd_30s,return_30s,trade_intensity_30s,price_start,price_end,cvd_at_trigger,p5_cvd_threshold,p75_intensity_threshold
1,1775351963,2026-04-05 01:19:23,1775351929,2026-04-05 01:18:49,-4.554,-6.405e-05,193,67136.9,67132.6,-4.456,-4.523,183
2,1775351964,2026-04-05 01:19:24,1775351930,2026-04-05 01:18:50,-5.93,-6.405e-05,205,67136.9,67132.6,-6.494,-4.523,184
3,1775351965,2026-04-05 01:19:25,1775351931,2026-04-05 01:18:51,-5.898,-6.554e-05,202,67137.0,67132.6,-6.52,-4.554,184
4,1775351966,2026-04-05 01:19:26,1775351935,2026-04-05 01:18:55,-6.015,-6.405e-05,208,67136.9,67132.6,-6.635,-5.898,190
5,1775351967,2026-04-05 01:19:27,1775351936,2026-04-05 01:18:56,-6.049,-6.405e-05,210,67137.0,67132.7,-6.637,-5.93,192
6,1775351968,2026-04-05 01:19:28,1775351937,2026-04-05 01:18:57,-6.061,-6.554e-05,211,67137.0,67132.6,-6.629,-6.015,193
7,1775351969,2026-04-05 01:19:29,1775351938,2026-04-05 01:18:58,-6.342,-8.49e-05,239,67137.0,67131.3,-6.909,-6.049,202
8,1775351970,2026-04-05 01:19:30,1775351939,2026-04-05 01:18:59,-6.428,-8.341e-05,235,67136.9,67131.3,-6.959,-6.061,205
9,1775351971,2026-04-05 01:19:31,1775351940,2026-04-05 01:19:00,-6.405,-8.49e-05,235,67137.0,67131.3,-6.946,-6.342,208
10,1775351972,2026-04-05 01:19:32,1775351941,2026-04-05 01:19:01,-6.532,-8.341e-05,232,67137.0,67131.4,-6.927,-6.405,210
11,1775351973,2026-04-05 01:19:33,1775351942,2026-04-05 01:19:02,-6.574,-8.49e-05,232,67137.0,67131.3,-6.936,-6.428,211
12,1775351975,2026-04-05 01:19:35,1775351944,2026-04-05 01:19:04,-9.285,-0.00013256,305,67136.9,67128.0,-9.603,-6.574,232
13,1775351976,2026-04-05 01:19:36,1775351945,2026-04-05 01:19:05,-9.269,-0.00010427,306,67135.0,67128.0,-9.589,-6.62,232
14,1775352399,2026-04-05 01:26:39,1775352076,2026-04-05 01:21:16,-2.425,-0.00068364,211,67140.9,67095.0,-7.333,-2.18,201
15,1775352400,2026-04-05 01:26:40,1775352078,2026-04-05 01:21:18,-2.492,-0.00068364,214,67140.9,67095.0,-7.39,-2.425,201
16,1775352401,2026-04-05 01:26:41,1775352079,2026-04-05 01:21:19,-2.672,-0.00068364,213,67140.9,67095.0,-7.558,-2.492,201
17,1775352402,2026-04-05 01:26:42,1775352080,2026-04-05 01:21:20,-2.888,-0.00068215,212,67140.8,67095.0,-7.558,-2.672,203
18,1775352403,2026-04-05 01:26:43,1775352085,2026-04-05 01:21:25,-2.963,-0.00068215,214,67140.8,67095.0,-7.637,-2.876,204
19,1775352404,2026-04-05 01:26:44,1775352086,2026-04-05 01:21:26,-4.28,-0.00068364,214,67140.9,67095.0,-7.945,-2.888,211
20,1775352405,2026-04-05 01:26:45,1775352087,2026-04-05 01:21:27,-4.456,-0.00068215,213,67140.8,67095.0,-7.951,-2.963,212
